facility_id,facility_name,facility_capacity
2850,18th Street Early Learning Child Development Center,27
2765,2 New Heights  Child Development Center ,98
2642,A Step Above Child Development Center ,31
2030,ABC Child Development Center,205
2508,Ada Masin Guzman,5
2598,Adeola Oyekola ,9
2825,Adiam Haddege / Zoe's Home Daycare,7
1738,Adventureland Day Nursery # 1,61
1955,Adventureland Day Nursery II,20
2235,Agape Woodland Tigers Children Academy Agape Cabbage Patch  #3,74
2626,Aida Mendoza/Tita's Family Home DayCare,9
1824,Aidan Montessori School,130
2602,Alba Turcios/Albina's Child Development Home ,9
2319,Alfreda Wright Brown,6
2296,Alice Burt,6
2853,AlphaBEST Education @ Bridges PCS,54
2741,AlphaBEST Education @ KIPP DC Douglass Campus,190
2724,AlphaBEST Education @ KIPP DC Shaw Campus,213
2725,AlphaBEST Education @ KIPP DC Smilow Campus,147
2743,AlphaBEST Education @ KIPP DC Webb Campus ,213
2733,AlphaBEST Education @ KIPP DC Wheeler Campus ,57
2738,AlphaBEST Education @ Two Rivers 4th ST,174
2739,AlphaBEST Education @ Two Rivers Charles Young,120
2570,Altagracia Y. Sanchez/Mundo De Fantasias,9
1938,Amazing Life Games Preschool,35
1724,American University CDC,30
2549,Ana Acevedo Perez ,9
2416,Ana Maria Lora/Bilingual Ia-s Nest,6
2858,"Angel's Arena Child Care, LLC",9
2604,Angelique Speight /Ms. P's Unique Daycare ,7
2879,Antonio Lumpkin Jr.,6
2089,Apple Tree Early Learning PCS - Douglas Knoll Campus,80
2088,Apple Tree Early Learning PCS - Oklahoma Ave. Campus,144
2705,Apple Tree Early Learning Public Charter School - Lincoln Park,47
2839,Apple Tree Early Learning Public Charter School - Southwest,40
2693,Apple Tree Early Public Charter School @ Parkland,80
1958,Apple Tree ELPCS Before And After Program,108
2885,ARCOIRIS 123 DC,8
1761,ARE Celebration In Learning Inc,100
2247,Arnold & Porter  LLP Children Center,62
2292,Artimitia J. Mitchell,6
2004,Assembly Of The Saints CDC,39
1837,Auguste Montessori School,30
2633,Baby Einstein  II Child Development Center,18
2179,Baby Einstein Child Development Center,52
2658,Bambini Play  & Learn at Federal Triangle LLC,116
2822,"Bambini Play & Learn at NoMa, LLC",164
2783,"Bambini Play & Learn Day Care Center, LLC",97
2747,"Bambini Play and Learn  @  Golden Triangle, LLC",102
2205,Barbara Chambers Children's  Center #2,36
2000,Barbara Chambers Children's Center,242
2259,Barbara Chambers Children's Center #3 @Dance Institute,73
2843,Barbara Chambers Children's Center #4,40
2847,Barbara Chambers Children's Center #5,47
